"Alphabetical List","Alphabetical List"
"Both","Both"
"Brand Icon","Brand Icon"
"Brand Manager","Brand Manager"
"Brands Category","Brands Category"
"Brands per Line","Brands per Line"
"Display Type","Display Type"
"Enable","Enable"
"Extra Options","Extra Options"
"Grid","Grid"
"Group by Letter","Group by Letter"
"Image","Image"
"List Mode","List Mode"
"Name","Name"
"No","No"
"Select the level 1 category to be modified.","Select the level 1 category to be modified."
"Settings","Settings"
"Yes","Yes"
