"Alphabetical List","Lista por orden alfabético"
"Both","Ambos"
"Brand Icon","Icono de la Marca"
"Brand Manager","Gestor de Marcas"
"Brands Category","Categoría de Marcas"
"Brands per Line","Marcas por línea"
"Display Type","Tipo de visualización"
"Enable","Habilitado"
"Extra Options","Opciones extra"
"Grid","Grilla"
"Group by Letter","Agrupar por Letra"
"Image","Imagen"
"List Mode","Modo de Lista"
"Name","Nombre"
"No","No"
"Select the level 1 category to be modified.","Seleccione la categoría de nivel 1 para ser modificada."
"Settings","Configuración"
"Yes","Si"
